Dublin Core:Title,Dublin Core:Identifier,File,Dublin Core:Creator,Dublin Core:Date,Dublin Core:County,Dublin Core:Subject,Dublin Core: State,Dublin Core:Rights,Dublin Core:Format,Item Type Metadata:Physical Dimensions,Dublin Core:Language,Item Type,Dublin Core:Coverage,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,geolocation:map_type,geolocation:address,Tags
"Rockfork, Ky. 
 by Martha Blair",306,http://mappalachia.org/pictures/gallery/full_size/map_306.jpg,Martha Blair,,Perry,Rockfork,Ky.,Rights Reserved by: Martha Blair,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3564719,-83.192877,10,,,Economic
"Asheville, N.C. 
 by Mary Bastie",307,http://mappalachia.org/pictures/gallery/full_size/map_307.jpg,Mary Bastie,,Buncombe,Asheville,N.C.,Rights Reserved by: Mary Bastie,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.5950581,-82.5514869,10,,,Economic
"Drawing 
 by Ro
 byn Noel",308,http://mappalachia.org/pictures/gallery/full_size/map_308.jpg,Robyn Noel,,Knox,Knoxville,Tenn.,Rights Reserved by: Robyn Noel,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.9377888,-83.9536598,10,,,Religious
"Lockbridge, W.Va. 
 by Mary L. Hicks",309,http://mappalachia.org/pictures/gallery/full_size/map_309.jpg,Mary L. Hicks,,Summers,Lockbridge,W.Va.,Rights Reserved by: Mary L. Hicks,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.8276178,-80.8450892,10,,,Economic
"Drawing 
 by McArthur Watts",311,http://mappalachia.org/pictures/gallery/full_size/map_311.jpg,McArthur Watts,,Letcher,Hallie,Ky.,Rights Reserved by: McArthur Watts,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.1023165,-83.0212745,10,,,Religious
"Drawing 
 by Billy Chadwell",312,http://mappalachia.org/pictures/gallery/full_size/map_312.jpg,Billy Chadwell,,Monroe,White Oak,Tenn.,Rights Reserved by: Billy Chadwell,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.4006367,-84.1163009,10,,,"Religious,Economic"
"Beckley, W.Va. 
 by Mike Harvey",313,http://mappalachia.org/pictures/gallery/full_size/map_313.jpg,Mike Harvey,,Raleigh,Beckley,W.Va.,Rights Reserved by: Mike Harvey,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7781702,-81.1881557,10,,,"Religious,Economic"
"Three Links, Ky. 
 by Mildred Martin",314,http://mappalachia.org/pictures/gallery/full_size/map_314.jpg,Mildred Martin,,Jackson,Three Links,Ky.,Rights Reserved by: Mildred Martin,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.4678627,-84.1893766,10,,,"Religious,Economic"
"Paint Lick, Ky. 
 by Nancy Moon",316,http://mappalachia.org/pictures/gallery/full_size/map_316.jpg,Nancy Moon,,Garrad,Paint Lick,Ky.,Rights Reserved by: Nancy Moon,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6167483,-84.4093797,10,,,"Religious,Economic"
"Drawing 
 by Susan Smith",317,http://mappalachia.org/pictures/gallery/full_size/map_317.jpg,Susan Smith,,Letcher,Letcher,Ky.,Rights Reserved by: Susan Smith,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.125351,-82.8640623,10,,,
"Grahn, Ky. 
 by Larry Carroll",318,http://mappalachia.org/pictures/gallery/full_size/map_318.jpg,Larry Carroll,1965,Carter,Grahn,Ky.,Rights Reserved by: Larry Carroll,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.2836924,-83.0751728,10,,,"Religious,Economic"
"Williamson, W.Va. 
 by Nelson Sandifun",319,http://mappalachia.org/pictures/gallery/full_size/map_319.jpg,Nelson Sandifun,,Mingo,Williamson,W.Va.,Rights Reserved by: Nelson Sandifun,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6742682,-82.2773629,10,,,Economic
"Berryville, Ky. 
 by Linda Wynkoop",320,http://mappalachia.org/pictures/gallery/full_size/map_320.jpg,Linda Wynkoop,1965,Clark,Berryville,Ky.,Rights Reserved by: Linda Wynkoop,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.1517713,-77.9822193,10,,,"Religious,Economic"
"Larue, Ky. 
 by Thomas Demond",321,http://mappalachia.org/pictures/gallery/full_size/map_321.jpg,Thomas Demond,,Larue,Unknown,Ky.,Rights Reserved by: Thomas Demond,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.5189552,-85.7256372,10,,,
"Baisden, W.Va. 
 by Pamela Cline",322,http://mappalachia.org/pictures/gallery/full_size/map_322.jpg,Pamela Cline,1968,Mingo,Baisden,W.Va.,Rights Reserved by: Pamela Cline,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.5843456,-81.9059764,10,,,Religious
"Drawing 
 by Majorie Vivian",323,http://mappalachia.org/pictures/gallery/full_size/map_323.jpg,Majorie Vivian,1965,Russel,Hazard,Ky.,Rights Reserved by: Majorie Vivian,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.24954,-83.1932284,10,,,
"Mitchellsburg, Ky. 
 by Morris Lamb",324,http://mappalachia.org/pictures/gallery/full_size/map_324.jpg,Morris Lamb,1964,Boyle,Mitchellsburg,Ky.,Rights Reserved by: Morris Lamb,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.600629,-84.9496784,10,,,"Religious,Economic"
"Road Mountain, Tenn. 
 by M. Vance",325,http://mappalachia.org/pictures/gallery/full_size/map_325.jpg,M. Vance,,Carter,Road Mountain,Tenn.,Rights Reserved by: M. Vance,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,27.9268408,-81.9573768,10,,,Economic
"Drawing 
 by Pat Morris",326,http://mappalachia.org/pictures/gallery/full_size/map_326.jpg,Pat Morris,,Perry,Unknown,Ky.,Rights Reserved by: Pat Morris,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3160706,-83.2077645,10,,,"Religious,Economic"
"Drawing 
 by Theodore Fuller",327,http://mappalachia.org/pictures/gallery/full_size/map_327.jpg,Theodore Fuller,1965,Jefferson,Birmingham,Ala.,Rights Reserved by: Theodore Fuller,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,33.5185892,-86.8103567,10,,,Economic
"Wheelwright, Ky. 
 by Anonymous",328,http://mappalachia.org/pictures/gallery/full_size/map_328.jpg,,1965,Floyd,Wheelwright,Ky.,Rights Reserved by:,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3326024,-82.7209904,10,,,Economic
"Bourbon, Ky. 
 by Lucia Lutts",329,http://mappalachia.org/pictures/gallery/full_size/map_329.jpg,Lucia Lutts,,Bourbon,Unknown,Ky.,Rights Reserved by: Lucia Lutts,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.2170752,-84.2278796,10,,,Political
"Soddy-Daisy, Tenn. 
 by Paul Beene",330,http://mappalachia.org/pictures/gallery/full_size/map_330.jpg,Paul Beene,1962,Hamilton,Soddy-Daisy,Tenn.,Rights Reserved by: Paul Beene,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.240716,-85.1970087,10,,,Economic
"Bristol, Tenn. 
 by Paul Jones",332,http://mappalachia.org/pictures/gallery/full_size/map_332.jpg,Paul Jones,,Sullivan,Bristol,Tenn.,Rights Reserved by: Paul Jones,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.5951059,-82.1887444,10,,,"Religious,Political,Economic"
"Dehue, W.Va. 
 by Peggy Taylor",334,http://mappalachia.org/pictures/gallery/full_size/map_334.jpg,Peggy Taylor,,Logan,Dehue,W.Va.,Rights Reserved by: Peggy Taylor,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.8062167,-81.9059544,10,,,Economic
"Drawing 
 by Kevin Smith",335,http://mappalachia.org/pictures/gallery/full_size/map_335.jpg,Kevin Smith,,Dade,Unknown,Ga.,Rights Reserved by: Kevin Smith,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,34.9109017,-85.4788065,10,,,"Religious,Political,Economic"
"Pine Mountain, Ky. 
 by Rachel Leach",336,http://mappalachia.org/pictures/gallery/full_size/map_336.jpg,Rachel Leach,1954,Harlan,Pine Mountain,Ky.,Rights Reserved by: Rachel Leach,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9487023,-83.1821171,10,,,Religious
"Perry, Ky. 
 by Raleigh Johnson",337,http://mappalachia.org/pictures/gallery/full_size/map_337.jpg,Raleigh Johnson,1959,Perry,Hazard,Ky.,Rights Reserved by: Raleigh Johnson,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.24954,-83.1932284,10,,,"Religious,Political,Economic"
"Hiltons, Va. 
 by Rex Gardner",339,http://mappalachia.org/pictures/gallery/full_size/map_339.jpg,Rex Gardner,,Scott,Hiltons,Va.,Rights Reserved by: Rex Gardner,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.6545454,-82.4670941,10,,,Economic
"Elliot, Ky. 
 by Kelly Wright",340,http://mappalachia.org/pictures/gallery/full_size/map_340.jpg,Kelly Wright,,Elliot,Unknown,Ky.,Rights Reserved by: Kelly Wright,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.1575088,-83.1220074,10,,,Economic
"Carter, Ky. 
 by Jonathan Kitchen",341,http://mappalachia.org/pictures/gallery/full_size/map_341.jpg,Jonathan Kitchen,,Carter,Unknown,Ky.,Rights Reserved by: Jonathan Kitchen,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.3204714,-83.0361376,10,,,
"Drawing 
 by John Spice",342,http://mappalachia.org/pictures/gallery/full_size/map_342.jpg,John Spice,,Madison,Berea,Ky.,Rights Reserved by: John Spice,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,,Economic
"Sardinia, Ohio 
 by Jimmy Blair",344,http://mappalachia.org/pictures/gallery/full_size/map_344.jpg,Jimmy Blair,,Brown & Highland,Sardinia,Ohio,Rights Reserved by: Jimmy Blair,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.007978,-83.808667,10,,,"Religious,Economic"
"Honaker, Va. 
 by Dwina Martin",352,http://mappalachia.org/pictures/gallery/full_size/map_352.jpg,Dwina Martin,,Russell,Honaker,Va.,Rights Reserved by: Dwina Martin,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.016222,-81.9742921,10,,,Economic
"Berea, Ky. 
 by Anonymous",359,http://mappalachia.org/pictures/gallery/full_size/map_359.jpg,,,Madison,Berea,Ky.,Rights Reserved by:,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,,Economic
"Cincinnati, Ohio 
 by Amy Ellis",361,http://mappalachia.org/pictures/gallery/full_size/map_361.jpg,Amy Ellis,,Hamilton,Cincinnati,Ohio,Rights Reserved by: Amy Ellis,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.1031182,-84.5120196,10,,,
"Drawing 
 by Harold Brown",365,http://mappalachia.org/pictures/gallery/full_size/map_365.jpg,Harold Brown,,Lincoln,Crab Orchard,Ky.,Rights Reserved by: Harold Brown,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.4645267,-84.5066044,10,,,
"Drawing 
 by Glen Brashear",366,http://mappalachia.org/pictures/gallery/full_size/map_366.jpg,Glen Brashear,,Letcher,Whitesburg,Ky.,Rights Reserved by: Glen Brashear,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.1184318,-82.8268265,10,,,
"Drawing 
 by Harold Haga",368,http://mappalachia.org/pictures/gallery/full_size/map_368.jpg,Harold Haga,1951,Unknown,Unknown,Ky.,Rights Reserved by: Harold Haga,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.8393332,-84.2700179,10,,,"Religious,Political,Economic"
"Thomas, W.Va. 
 by Harry Wolford",370,http://mappalachia.org/pictures/gallery/full_size/map_370.jpg,Harry Wolford,1961,Tucker,Thomas,W.Va.,Rights Reserved by: Harry Wolford,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.1489967,-79.498109,10,,,Economic
"Drawing 
 by Harvey",372,http://mappalachia.org/pictures/gallery/full_size/map_372.jpg,Harvey,,Madison,Berea,Ky.,Rights Reserved by: Harvey,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,,
"Willis Creek, Ky. 
 by Hazel Dicken",374,http://mappalachia.org/pictures/gallery/full_size/map_374.jpg,Hazel Dicken,1957,Clinton,Willis Creek,Ky.,Rights Reserved by: Hazel Dicken,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.8142312,-85.2219034,10,,,"Religious,Economic"
"Happy, Ky. 
 by Helen Combs",376,http://mappalachia.org/pictures/gallery/full_size/map_376.jpg,Helen Combs,,Perry,Happy,Ky.,Rights Reserved by: Helen Combs,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.2039848,-83.0965566,10,,,Economic
"East Lynn, Ky. 
 by Henry Perry",377,http://mappalachia.org/pictures/gallery/full_size/map_377.jpg,Henry Perry,1960,Wayne,East Lynn,Ky.,Rights Reserved by: Henry Perry,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.1625515,-82.3833467,10,,,Economic
"Harpers Ferry, W.Va. 
 by Herbert Harrison",378,http://mappalachia.org/pictures/gallery/full_size/map_378.jpg,Herbert Harrison,,Jefferson,Harpers Ferry,W.Va.,Rights Reserved by: Herbert Harrison,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.3253786,-77.7388818,10,,,"Religious,Political,Economic"
"Scottsboro, Ky. 
 by James Evans",380,http://mappalachia.org/pictures/gallery/full_size/map_380.jpg,James Evans,,Jackson,Scottsboro,Ky.,Rights Reserved by: James Evans,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.7515163,-86.1701693,10,,,
"Canaan Heights, W.Va. 
 by James Myers",382,http://mappalachia.org/pictures/gallery/full_size/map_382.jpg,James Myers,,Tucker,Canaan Heights,W.Va.,Rights Reserved by: James Myers,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.1254028,-79.3825401,10,,,"Political,Economic"
"Drawing 
 by Judy Kennedy",383,http://mappalachia.org/pictures/gallery/full_size/map_383.jpg,Judy Kennedy,,Wise,Pound,Ky.,Rights Reserved by: Judy Kennedy,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.932522,-82.7089636,10,,,
"Drawing 
 by Jeanne Back",385,http://mappalachia.org/pictures/gallery/full_size/map_385.jpg,Jeanne Back,1963,Letcher,Jeremiah,Ky.,Rights Reserved by: Jeanne Back,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.1673196,-82.9290502,10,,,
"Drawing 
 by Jeanne Harden",387,http://mappalachia.org/pictures/gallery/full_size/map_387.jpg,Jeanne Harden,,Harden,Cumberland,Ky.,Rights Reserved by: Jeanne Harden,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9781475,-82.9884955,10,,,"Political,Economic"
"Baisden, Ky. 
 by Jerry Thompson",389,http://mappalachia.org/pictures/gallery/full_size/map_389.jpg,Jerry Thompson,1965,Gilbert,Baisden,Ky.,Rights Reserved by: Jerry Thompson,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6142758,-81.8665068,10,,,Economic
"Anstead, Ky. 
 by Jo Nuckols",391,http://mappalachia.org/pictures/gallery/full_size/map_391.jpg,Jo Nuckols,1952,Fayette,Anstead,Ky.,Rights Reserved by: Jo Nuckols,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.0606478,-84.4802606,10,,,"Religious,Economic"
"Drawing 
 by John Milligan",392,http://mappalachia.org/pictures/gallery/full_size/map_392.jpg,John Milligan,,Greene,Greenville,Tenn.,Rights Reserved by: John Milligan,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.1631574,-82.8309861,10,,,
"Garret, Ky. 
 by John Trusty",394,http://mappalachia.org/pictures/gallery/full_size/map_394.jpg,John Trusty,,Garret,Garret,Ky.,Rights Reserved by: John Trusty,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.4798212,-82.8315501,10,,,Economic
"Morganton, N.C. 
 by Joyce Ross",397,http://mappalachia.org/pictures/gallery/full_size/map_397.jpg,Joyce Ross,,Burke,Morganton,N.C.,Rights Reserved by: Joyce Ross,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.7454071,-81.6848188,10,,,Religious
"Drawing 
 by John B. Fowler",399,http://mappalachia.org/pictures/gallery/full_size/map_399.jpg,John B. Fowler,,Madison,Berea,Ky.,Rights Reserved by: John B. Fowler,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,,"Political,Economic"
"Drawing 
 by Albert Robbins",401,http://mappalachia.org/pictures/gallery/full_size/map_401.jpg,Albert Robbins,1955,Perry,Hazard,Ky.,Rights Reserved by: Albert Robbins,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.24954,-83.1932284,10,,,"Religious,Economic"
"Middlesboro, Ky. 
 by Bob
 by Colgaw",403,http://mappalachia.org/pictures/gallery/full_size/map_403.jpg,Bobby Colgaw,1955,Bell,Middlesboro,Ky.,Rights Reserved by: Bobby Colgaw,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.6072567,-83.7142848,10,,,Economic
"Williamson, W.Va. 
 by Cecil Hatfield Williamson",406,http://mappalachia.org/pictures/gallery/full_size/map_406.jpg,Cecil Hatfield Williamson,1955,Mingo,Hatfield,W.Va.,Rights Reserved by: Cecil Hatfield Williamson,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7276,-82.3159754,10,,,"Political,Economic"
"Kingsport, Tenn. 
 by Bill Leheuru",407,http://mappalachia.org/pictures/gallery/full_size/map_407.jpg,Bill Leheuru,1956,Sullivan-Hawkins,Kingsport,Tenn.,Rights Reserved by: Bill Leheuru,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.4786561,-82.5938137,10,,,Economic
"Jeff, Ky. 
 by Delbert Combs",409,http://mappalachia.org/pictures/gallery/full_size/map_409.jpg,Delbert Combs,1956,Perry,Jeff,Ky.,Rights Reserved by: Delbert Combs,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.2050956,-83.136281,10,,,"Religious,Economic"
"Hite, Ky. 
 by Dollie Dingus",411,http://mappalachia.org/pictures/gallery/full_size/map_411.jpg,Dollie Dingus,1956,Floyd,Hite,Ky.,Rights Reserved by: Dollie Dingus,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.5570432,-82.7534923,10,,,Economic
"Parsons, W.Va. 
 by Gail Parsons",413,http://mappalachia.org/pictures/gallery/full_size/map_413.jpg,Gail Parsons,1955,Tucker,Parsons,W.Va.,Rights Reserved by: Gail Parsons,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.096495,-79.680896,10,,,"Religious,Political,Economic"
"Drawing 
 by Martin Wilson",415,http://mappalachia.org/pictures/gallery/full_size/map_415.jpg,Martin Wilson,1956,Bell,Pineville,Ky.,Rights Reserved by: Martin Wilson,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.76203,-83.6949176,10,,,"Race,Religious,Political,Economic"
"Birmingham, Ala. 
 by Murial Wright",417,http://mappalachia.org/pictures/gallery/full_size/map_417.jpg,Murial Wright,1956,Jefferson,Birmingham,Ala.,Rights Reserved by: Murial Wright,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,33.5185892,-86.8103567,10,,,Economic
"Lenoir, Ky. 
 by Shirley Jarvis",420,http://mappalachia.org/pictures/gallery/full_size/map_420.jpg,Shirley Jarvis,1956,Caldwell,Lenoir,Ky.,Rights Reserved by: Shirley Jarvis,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.9140196,-81.5389849,10,,,"Religious,Economic"
"Middlesboro, Ky. 
 by Barbara Thomas",423,http://mappalachia.org/pictures/gallery/full_size/map_423.jpg,Barbara Thomas,1966,Bell,Middlesboro,Ky.,Rights Reserved by: Barbara Thomas,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.6072567,-83.7142848,10,,,"Religious,Political"
"Decatur, Ky. 
 by Becca Hamner",424,http://mappalachia.org/pictures/gallery/full_size/map_424.jpg,Becca Hamner,1966,Limestone and Morgan,Decatur,Ky.,Rights Reserved by: Becca Hamner,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,34.6059253,-86.9833417,10,,,Race
"Bradshaw, W.Va. 
 by Earnest A Baker",426,http://mappalachia.org/pictures/gallery/full_size/map_426.jpg,Earnest A Baker,1952,Logan,Bradshaw,W.Va.,Rights Reserved by: Earnest A Baker,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.8017706,-82.0317928,10,,,Religious
"Casey, Ky. 
 by Betty Lou Miller",427,http://mappalachia.org/pictures/gallery/full_size/map_427.jpg,Betty Lou Miller,1966,Casey,Liberty,Ky.,Rights Reserved by: Betty Lou Miller,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3184064,-84.9393979,10,,,"Religious,Economic"
"Madison, W.Va. 
 by Frieda Meade",428,http://mappalachia.org/pictures/gallery/full_size/map_428.jpg,Frieda Meade,,Boone,Madison,W.Va.,Rights Reserved by: Frieda Meade,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.0670454,-81.8192892,10,,,"Religious,Political,Economic"
"Hazard, Ky. 
 by Bob
 by Jo Gay",429,http://mappalachia.org/pictures/gallery/full_size/map_429.jpg,Bobby Jo Gay,1966,Hazard,Unknown,Ky.,Rights Reserved by: Bobby Jo Gay,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.24954,-83.1932284,10,,,Economic
"Franklin, N.C. 
 by Aaron Philips",430,http://mappalachia.org/pictures/gallery/full_size/map_430.jpg,Aaron Philips	,1971,Macon,Franklin,N.C.,Rights Reserved by: Aaron Philips	,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.1823171,-83.3815429,10,,,
"Lexington, Va. 
 by Allan Bareger",431,http://mappalachia.org/pictures/gallery/full_size/map_431.jpg,Allan Bareger,1971,Rockbridge,Lexington,Va.,Rights Reserved by: Allan Bareger,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7835717,-79.4416609,10,,,Economic
"Drawing 
 by Betty Poynter",432,http://mappalachia.org/pictures/gallery/full_size/map_432.jpg,Betty Poynter	,1971,Madison,Ber,Ky.,Rights Reserved by: Betty Poynter	,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7471503,-84.2925294,10,,,
"Marshall, N.C. 
 by Billy Roberts",433,http://mappalachia.org/pictures/gallery/full_size/map_433.jpg,Billy Roberts,1971,Madison,Marshall,N.C.,Rights Reserved by: Billy Roberts,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.7973284,-82.6840251,10,,,
"Drawing 
 by Carol Parris",434,http://mappalachia.org/pictures/gallery/full_size/map_434.jpg,Carol Parris,1971,Tazewell,Bluefield,Va.,Rights Reserved by: Carol Parris,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.2486175,-81.2843811,10,,,
"Drawing 
 by Genenne Wilson",435,http://mappalachia.org/pictures/gallery/full_size/map_435.jpg,Genenne Wilson,1971,Buncombe,Candler,N.C.,Rights Reserved by: Genenne Wilson,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.5360973,-82.6927363,10,,,
"Canada, Ky. 
 by John Baldwin",436,http://mappalachia.org/pictures/gallery/full_size/map_436.jpg,John Baldwin,1971,Pike,Canada,Ky.,Rights Reserved by: John Baldwin,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6061055,-82.3246094,10,,,Economic
"Drawing 
 by K. Wallace",437,http://mappalachia.org/pictures/gallery/full_size/map_437.jpg,K. Wallace,1971,Cherokee & York,Smyrna,S.C.,Rights Reserved by: K. Wallace,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.0426324,-81.4061959,10,,,"Religious,Political,Economic"
"Marion, Va. 
 by Linda Fuller",438,http://mappalachia.org/pictures/gallery/full_size/map_438.jpg,Linda Fuller,1971,Smyth,Marion,Va.,Rights Reserved by: Linda Fuller,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.8348383,-81.5148368,10,,,Economic
"Drawing 
 by Michael Browning",439,http://mappalachia.org/pictures/gallery/full_size/map_439.jpg,Michael Browning,1971,Gerrard,Lancaster,Ky.,Rights Reserved by: Michael Browning,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6195246,-84.5779957,10,,,"Political,Economic"
"Monticello, Ky. 
 by Rebecca White",440,http://mappalachia.org/pictures/gallery/full_size/map_440.jpg,Rebecca White,1971,Wayne,Monticello,Ky.,Rights Reserved by: Rebecca White,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.8297937,-84.8491126,10,,,
"Drawing 
 by Robert Goddard",441,http://mappalachia.org/pictures/gallery/full_size/map_441.jpg,Robert Goddard,1971,Unknown,Unknown,W.Va.,Rights Reserved by: Robert Goddard,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.5976262,-80.4549026,10,,,Religious
"Drawing 
 by Ronnie Delph",442,http://mappalachia.org/pictures/gallery/full_size/map_442.jpg,Ronnie Delph,1971,Letcher,McRoberts,Ky.,Rights Reserved by: Ronnie Delph,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.2076038,-82.671823,10,,,"Religious,Economic"
"Narrows, Va. 
 by Rusty Wilburn",443,http://mappalachia.org/pictures/gallery/full_size/map_443.jpg,Rusty Wilburn,1971,Giles,Narrows,Va.,Rights Reserved by: Rusty Wilburn,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3315103,-80.8111866,10,,,
"Buchanan, Va. 
 by Sandy Fix",444,http://mappalachia.org/pictures/gallery/full_size/map_444.jpg,Sandy Fix,1971,Botetourt,Buchanan,Va.,Rights Reserved by: Sandy Fix,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.5273566,-79.6797614,10,,,
"Drawing 
 by Sandy Walke",445,http://mappalachia.org/pictures/gallery/full_size/map_445.jpg,Sandy Walke,1971,Wythe,Wytheville,Va.,Rights Reserved by: Sandy Walke,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9484528,-81.084811,10,,,Religious
"Sweetwater, Tenn. 
 by Shelia Frye",446,http://mappalachia.org/pictures/gallery/full_size/map_446.jpg,Shelia Frye,1971,Monroe & McMinn,Sweetwater,Tenn.,Rights Reserved by: Shelia Frye,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.6014636,-84.4610394,10,,,Economic
"Drawing 
 by Susie Madden",447,http://mappalachia.org/pictures/gallery/full_size/map_447.jpg,Susie Madden,1971,Randolph,Elkins,W.Va.,Rights Reserved by: Susie Madden,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.9259397,-79.8467349,10,,,
